date,total,ios,android,apple_tv,roku,fire_tv,google_tv,car_play,android_auto
2020-01-01,109,63,46,0,0,0,0,0,0
2021-01-01,7256,2733,4523,0,0,0,0,0,0
2022-01-01,14020,5382,8638,0,0,0,0,0,0
2023-01-01,11355,4561,6794,0,0,0,0,0,0
2024-01-01,9480,3444,6036,0,0,0,0,0,0
2025-01-01,7769,2601,5168,0,0,0,0,0,0
