date,total,ios,android,apple_tv,roku,fire_tv,google_tv,car_play,android_auto
2020-01-01,17,5,12,0,0,0,0,0,0
2021-01-01,748,282,466,0,0,0,0,0,0
2022-01-01,701,259,442,0,0,0,0,0,0
2023-01-01,704,269,435,0,0,0,0,0,0
2024-01-01,612,293,319,0,0,0,0,0,0
2025-01-01,407,225,182,0,0,0,0,0,0
